Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Label
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,1,112,58,0.25,0.25,0.5,0,0.0,0.0,0.0,0,0,0,0,0,56.66666666666666,56.0,58.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
1,1,58,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,56.0,58.0,54.0,PortScan
