Timestamp,FlowID,In Port,L4 Protocol,L4 Dest,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size
1620108260,-8082834869807887126,1,tcp,3389,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,2880315976485950436,1,tcp,1723,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3366637303647081675,1,tcp,1025,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3515660092599863614,1,tcp,143,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-7891331075977340460,1,tcp,5900,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-4845046382327253651,1,tcp,21,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3686027656363101365,1,tcp,554,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-8731909689201610213,1,tcp,113,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-6026903181173092524,1,tcp,139,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,6535307258259680578,1,tcp,22,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-1704922052763344053,1,tcp,443,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-5256308200578197862,1,tcp,993,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,4667123276826597656,1,tcp,25,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3213465444477866775,1,tcp,111,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,6416340829684230047,1,tcp,3306,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-314371605291903292,1,tcp,8888,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-2353545976108847353,1,tcp,135,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,5523863605025339514,1,tcp,8080,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,1891872210536838910,1,tcp,110,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-6492090003100104999,1,tcp,199,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-5801707696377278637,1,tcp,445,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-6022597547045746171,1,tcp,995,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-4871715241260406745,1,tcp,1720,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-8149272115969186036,1,tcp,23,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3085140570393924038,1,tcp,53,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,1154005185368143986,1,tcp,80,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,1908859347723432541,1,tcp,587,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,4439407316600915685,1,tcp,464,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-7317973182513241530,1,tcp,8009,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,5499617735738039549,1,tcp,49154,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-4595682971449487692,1,tcp,515,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-3189195033689975163,1,tcp,514,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-6117413279922479572,1,tcp,6001,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,278929392841580501,1,tcp,8010,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-1320857789553340526,1,tcp,9100,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-470131088957996794,1,tcp,5357,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-5514572011198389960,1,tcp,82,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-3106078441687639351,1,tcp,1998,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-1585104265627128528,1,tcp,8008,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,8002898951499347036,1,tcp,427,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,-8509348519799022014,1,tcp,544,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-5468913048062719699,1,tcp,1024,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-28145883835332888,1,tcp,389,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,81433664504587643,1,tcp,543,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,5587514313242622379,1,tcp,13,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3359395572250903369,1,tcp,631,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-181422189648203743,1,tcp,1033,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-4044683058218434385,1,tcp,1234,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,2375633267889079791,1,tcp,1,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-6307960123392396443,1,tcp,1049,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,5736960627531583234,1,tcp,79,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-2171737402390789673,1,tcp,5666,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,7614509108764261688,1,tcp,1050,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-371392662763691834,1,tcp,2103,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,6655255577491425337,1,tcp,1761,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,7583585807142265443,1,tcp,2121,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-2616378981344869339,1,tcp,6112,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-9071619433523752412,1,tcp,4001,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3589906809407581075,1,tcp,280,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,6200978631165634366,1,tcp,1039,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-5996077428681076456,1,tcp,5120,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,-8156038949584087666,1,tcp,2869,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,4610252317404358021,1,tcp,444,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,6121794552145305710,1,tcp,2105,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-5267310886713055345,1,tcp,311,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,8589412514134400079,1,tcp,808,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-210480903072038237,1,tcp,6646,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,-8499521860329699757,1,tcp,2003,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-4889961140670491070,1,tcp,548,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-1252610223333289214,1,tcp,49153,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3621282615198484077,1,tcp,32771,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-6022555700257190930,1,tcp,1041,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-7499568529212942741,1,tcp,902,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,1344121954214400138,1,tcp,2301,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-430138861349930690,1,tcp,1035,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-3773617530890144463,1,tcp,6002,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-545207110802573363,1,tcp,1054,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-8545655716699873141,1,tcp,636,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-7308253735692389942,1,tcp,1032,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-7293061381349082717,1,tcp,7938,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-3298254587109276646,1,tcp,49155,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-4769195039906197976,1,tcp,2967,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,6587676368867553435,1,tcp,10000,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-2621218862402590144,1,tcp,873,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-1045304168374923041,1,tcp,1801,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-1449248519791170173,1,tcp,6666,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,8282664461627556480,1,tcp,3986,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,-5516335514413874043,1,tcp,2107,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-5179858403024575915,1,tcp,3690,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-3986762396444743838,1,tcp,26,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-3352966270868376045,1,tcp,9102,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,2042106236060212840,1,tcp,49156,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,5270910926804080312,1,tcp,513,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-229539243528095799,1,tcp,3,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,1396300325114041984,1,tcp,1036,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,157200042823011382,1,tcp,5003,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,9174051337773039968,1,tcp,5001,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,-5374917043395281392,1,tcp,5901,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-1519381308212273247,1,tcp,1031,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,581228059746124671,1,tcp,1027,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-4211620881582007578,1,tcp,19,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-485355651744321104,1,tcp,1058,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,8093659771043790878,1,tcp,1110,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,8177664546750743680,1,tcp,17,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-8310534665333695733,1,tcp,4899,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,8556847803164135010,1,tcp,1074,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-4048568812133333470,1,tcp,144,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-2045889251129146350,1,tcp,81,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,1766782968490530400,1,tcp,1028,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-7775866561836159815,1,tcp,1521,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-7514876227948422842,1,tcp,3000,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,2168331758594867055,1,tcp,1494,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-6775590005157732048,1,tcp,1071,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,8288834347874623542,1,tcp,625,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-3948004513003878016,1,tcp,1044,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,8451279246152937846,1,tcp,7000,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,4984842708002075334,1,tcp,5000,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,4118963761732246591,1,tcp,1064,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,791725484574060998,1,tcp,1059,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,6293172592184637385,1,tcp,1029,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3770337393662356482,1,tcp,119,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,1560211503487991860,1,tcp,179,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,4832102214411940985,1,tcp,1433,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-527804187363013472,1,tcp,1066,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,1183585242797646593,1,tcp,5060,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,2642400619715296398,1,tcp,1056,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,2542247976755269120,1,tcp,3689,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-3638059756089841838,1,tcp,2717,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,6632426406273946726,1,tcp,5190,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-7639002530215144798,1,tcp,990,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3339677873206615896,1,tcp,1053,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,7966247612974103556,1,tcp,10010,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3132593569461045324,1,tcp,2002,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-6843881084893313283,1,tcp,2401,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,6228127222169261476,1,tcp,1000,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,8415429904523974564,1,tcp,5555,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-4652349823891095762,1,tcp,2001,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,-3380400502781861848,1,tcp,2005,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,3405263106056520467,1,tcp,9000,2,1,112,58,0.25,0.25,0.5,0,0,0.0,0,0,0,0,0,0,56.666666666666664,56.0,58.0
1620108260,-3756148334354104871,1,tcp,7937,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,8961655729612274822,1,tcp,1935,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-4799638849928033680,1,tcp,2383,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,58154460754004935,1,tcp,9999,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-8270693496405500219,1,tcp,8081,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,8683429347216040033,1,tcp,32768,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,-2435732199564190538,1,tcp,10001,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-2363444846533066911,1,tcp,6000,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,7279177636459497234,1,tcp,1038,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-8439872477211072664,1,tcp,497,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-3716517410406044161,1,tcp,1755,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,-6030173314185352659,1,tcp,9001,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-688368037398123995,1,tcp,6004,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,4660311637694860126,1,tcp,106,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,2336916901970754709,1,tcp,1048,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-1806238793293459148,1,tcp,2161,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-484560879776850458,1,tcp,593,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,6105494582191654832,1,tcp,5432,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,2576807167695089057,1,tcp,3001,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,4779051678151480622,1,tcp,3703,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,206105692563887487,1,tcp,4000,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,-7074364170801805020,1,tcp,5050,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-8785690008686304905,1,tcp,2601,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-4980801590377504030,1,tcp,2000,2,2,116,108,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0,0,0,0,56.0,58.0,54.0
1620108260,-3341888005690511450,1,tcp,1900,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,4990242072394712239,1,tcp,646,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,1579706840495284214,1,tcp,5631,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,175738725254870506,1,tcp,5051,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,2813488298138298823,1,tcp,88,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
1620108260,-6191981317989180212,1,tcp,4045,1,1,58,54,0,0.0,0,0,0,0.0,0,0,0,0,0,0,56.0,58.0,54.0
